anime_id,title,score,genre,studio,numEpi,releaseDate,numReviews,tomatometer,popcornmeter
1,aggretsuko,7.64,Comedy,Fanworks,10,"Apr 20, 2018",120490,9.6,8.2
2,akame ga kill,null,,null,null,null,null,NULL,8.6
3,akuma kun,null,,null,null,null,null,10.0,7.9
4,attack on titan,8.55,Action,Wit Studio,25,"Apr 7, 2013 to Sep 29, 2013",2877335,9.6,9.5
5,b: the beginning,7.15,Action,Production I.G,12,"Mar 2, 2018",179694,NULL,NULL
6,baki,7.31,Sports,TMS Entertainment,26,"Jun 25, 2018 to Dec 17, 2018",249201,NULL,7.4
7,baki hanma,7.65,Sports,TMS Entertainment,12,"Sep 30, 2021",105081,NULL,7.4
8,bakugan: battle planet,5.53,Action,TMS Entertainment,50,"Apr 1, 2019 to Jan 19, 2020",3636,NULL,NULL
9,banana fish,8.46,Action,MAPPA,24,"Jul 6, 2018 to Dec 21, 2018",387076,NULL,9.4
10,"bastard!! -heavy metal, dark fantasy-",null,,null,null,null,null,6.7,8.9
11,beastars,7.8,Drama,Orange,12,"Oct 10, 2019 to Dec 26, 2019",549734,NULL,8.2
12,black clover,8.14,Action,Pierrot,170,"Oct 3, 2017 to Mar 30, 2021",895291,NULL,9.0
13,black lagoon,8.03,Action,Madhouse,12,"Apr 9, 2006 to Jun 25, 2006",507971,NULL,8.9
14,blade runner: black lotus,6.28,Sci-Fi,Sola Digital Arts,13,"Nov 14, 2021 to Feb 5, 2022",5129,7.1,6.4
15,bleach,7.96,Action,Pierrot,366,"Oct 5, 2004 to Mar 27, 2012",1172772,NULL,7.9
16,bleach: thousand-year blood war,9.01,Action,Pierrot,13,"Oct 11, 2022 to Dec 27, 2022",314325,NULL,9.0
17,blue exorcist,7.48,Action,A-1 Pictures,25,"Apr 17, 2011 to Oct 2, 2011",1179160,NULL,NULL
18,blue lock,8.22,Sports,8bit,24,"Oct 9, 2022 to Mar 26, 2023",405250,NULL,9.0
19,bna: brand new animal,7.34,Action,Trigger,12,"Apr 9, 2020 to Jun 25, 2020",209799,10.0,8.6
20,bocchi the rock!,8.76,Comedy,CloverWorks,12,"Oct 9, 2022 to Dec 25, 2022",389398,NULL,8.8
21,boruto: naruto next generations,6.0,Action,Pierrot,293,"Apr 5, 2017 to Mar 26, 2023",452550,NULL,5.3
22,chainsaw man,8.47,Action,MAPPA,12,"Oct 12, 2022 to Dec 28, 2022",928063,9.7,9.1
23,claymore,7.73,Action,Madhouse,26,"Apr 4, 2007 to Sep 26, 2007",333195,NULL,9.0
